Time,CPU %,Memory
2026-04-01 12:44:49,0.0,49.3
2026-04-01 12:44:50,13.2,49.4
2026-04-01 12:44:51,3.9,49.4
2026-04-01 12:44:52,16.8,49.3
2026-04-01 12:44:53,14.1,49.3
